Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes
PAPER,DG,USD,0.3,2024-03-15,Put,200,155,2024-04-19,"1,292.53",
PAPER,DG,USD,0.3,2024-03-15,Put,-500,145,2024-03-15,0,
PAPER,RMD,USD,0.3,2024-03-15,Put,-500,185,2024-03-15,0,
PAPER,DG,USD,0.3,2024-03-15,Put,-400,160,2024-03-15,"-2,817.39",
LOC,LOC,CAD,0,2024-03-16,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,DG,USD,0.3,2024-03-18,Put,400,160,2024-04-19,"3,670.02",
PAPER,RMD,USD,0.3,2024-03-20,Put,400,190,2024-04-19,"2,830.02",
PAPER,FTNT,USD,0.3,2024-03-21,Put,700,68,2024-04-19,"1,386.28",
PAPER,TEAM,USD,0.3,2024-03-22,Put,200,190,2024-04-19,"1,252.53",
PAPER,YZINV,USD,0,2024-04-12,Cash,0,0,9999-12-31,"-10,000.00",Personal Withdraw - Fertility
LOC,LOC,CAD,0,2024-04-12,LOC,0,0,9999-12-31,"20,000.00",Short Term Juicing - LOC
PAPER,YZINV,CAD,0,2024-04-12,Cash,0,0,9999-12-31,"-20,000.00",Short Term Juicing
PAPER,TEAM,USD,0.3,2024-04-12,Put,-200,190,2024-04-19,-97.45,
PAPER,GOOG,USD,0.3,2024-04-12,Put,-500,150,2024-04-19,-151.2,
PAPER,ALGN,USD,0.3,2024-04-12,Put,200,300,2024-05-17,"3,152.52",
LOC,LOC,CAD,0,2024-04-15,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,USD,0,2024-04-16,Cash,0,0,9999-12-31,"2,500.00",Personal Withdraw - Fertility
PAPER,DG,USD,0.3,2024-04-16,Put,-400,160,2024-04-19,"-8,154.00",
PAPER,DG,USD,0.3,2024-04-16,Put,-200,155,2024-04-19,0,
PAPER,DG,USD,0.3,2024-04-16,Put,600,160,2024-05-17,"9,227.47",
PAPER,TTD,USD,0.3,2024-04-17,Put,-700,90,2024-04-19,"-5,963.76",
PAPER,TTD,USD,0.3,2024-04-17,Put,700,90,2024-05-17,"7,686.23",
PAPER,RMD,USD,0.3,2024-04-17,Put,-100,190,2024-04-19,"-1,103.30",
PAPER,RMD,USD,0.3,2024-04-17,Put,100,190,2024-05-17,"1,434.78",
PAPER,RMD,USD,0.3,2024-04-17,Put,-300,190,2024-04-19,"-3,398.70",
PAPER,RMD,USD,0.3,2024-04-17,Put,300,190,2024-05-17,"4,491.26",
LOC,LOC,CAD,0,2024-04-18,LOC,0,0,9999-12-31,"-10,000.00",Margin Cover - LOC
PAPER,YZINV,CAD,0,2024-04-18,Cash,0,0,9999-12-31,"10,000.00",Margin Cover
PAPER,FTNT,USD,0.3,2024-04-19,Put,-700,68,2024-04-19,"-2,477.97",
PAPER,FTNT,USD,0.3,2024-04-23,Put,700,68,2024-05-17,"3,906.26",
LOC,LOC,CAD,0,2024-04-26,LOC,0,0,9999-12-31,"10,000.00",Margin Cover - LOC
PAPER,YZINV,CAD,0,2024-04-26,Cash,0,0,9999-12-31,"-10,000.00",Margin Cover
PAPER,DG,USD,0.3,2024-04-26,Put,-600,160,2024-05-17,"-10,820.09",
PAPER,DG,USD,0.3,2024-04-26,Put,600,160,2024-06-21,"11,507.45",
PAPER,RMD,USD,0.3,2024-04-26,Put,-400,190,2024-05-17,-309.95,
PAPER,ALGN,USD,0.3,2024-04-26,Put,-200,300,2024-05-17,-607.45,
PAPER,TEAM,USD,0.3,2024-04-26,Put,300,180,2024-05-17,"2,241.28",
PAPER,ALGN,USD,0.3,2024-04-30,Put,200,290,2024-05-17,"1,752.53",
PAPER,FTNT,USD,0.3,2024-05-06,Put,-700,68,2024-05-17,"-5,752.65",
